name,locality,state,country,url
Massachusetts Institute of Technology,"Cambridge, Massachusetts",,United States,https://web.mit.edu/
Harvard University,Cambridge,Massachusetts,United States,http://harvard.edu
Stanford University,Stanford,California,United States,http://stanford.edu
"University of California, Berkeley",Berkeley,California,United States,http://www.berkeley.edu
Purdue University,West Lafayette,Indiana,United States,http://www.purdue.edu
Cornell University,Ithaca,New York,United States,http://cornell.edu
University of Washington,Seattle,Washington,United States,http://www.washington.edu
Columbia University in the City of New York,New York City,New York,United States,http://columbia.edu
University of Michigan,Ann Arbor,Michigan,United States,http://www.umich.edu
Penn State University,University Park,Pennsylvania,United States,http://www.psu.edu
University of Minnesota,Minneapolis and Saint Paul,Minnesota,United States,http://www.umn.edu
University of Wisconsin-Madison,Madison,Wisconsin,United States,http://wisc.edu/
"University of California, Los Angeles","Westwood, Los Angeles",California,United States,http://ucla.edu
New York University,New York,New York,United States,http://nyu.edu
University of Pennsylvania,Philadelphia,Pennsylvania,United States,http://upenn.edu
University of Toronto,Toronto,Ontario,Canada,https://utoronto.ca
Yale University,New Haven,Connecticut,United States,http://yale.edu
The University of Texas at Austin,Austin,Texas,United States,http://www.utexas.edu
University of Oxford,Oxford,,"England, United Kingdom",http://ox.ac.uk
Princeton University,Princeton,New Jersey,United States,http://princeton.edu
Carnegie Mellon University,Pittsburgh,Pennsylvania,United States,http://www.cmu.edu/
University of Southern California,Los Angeles,California,United States,http://www.usc.edu
Massachusetts Institute of Technology,"Cambridge, Massachusetts",,United States,https://web.mit.edu/
Harvard University,Cambridge,Massachusetts,United States,http://harvard.edu
Stanford University,Stanford,California,United States,http://stanford.edu
"University of California, Berkeley",Berkeley,California,United States,http://www.berkeley.edu
Purdue University,West Lafayette,Indiana,United States,http://www.purdue.edu
Cornell University,Ithaca,New York,United States,http://cornell.edu
University of Washington,Seattle,Washington,United States,http://www.washington.edu
Columbia University in the City of New York,New York City,New York,United States,http://columbia.edu
University of Michigan,Ann Arbor,Michigan,United States,http://www.umich.edu
Penn State University,University Park,Pennsylvania,United States,http://www.psu.edu
University of Minnesota,Minneapolis and Saint Paul,Minnesota,United States,http://www.umn.edu
University of Wisconsin-Madison,Madison,Wisconsin,United States,http://wisc.edu/
"University of California, Los Angeles","Westwood, Los Angeles",California,United States,http://ucla.edu
New York University,New York,New York,United States,http://nyu.edu
University of Pennsylvania,Philadelphia,Pennsylvania,United States,http://upenn.edu
University of Toronto,Toronto,Ontario,Canada,https://utoronto.ca
Yale University,New Haven,Connecticut,United States,http://yale.edu
The University of Texas at Austin,Austin,Texas,United States,http://www.utexas.edu
University of Oxford,Oxford,,"England, United Kingdom",http://ox.ac.uk
Princeton University,Princeton,New Jersey,United States,http://princeton.edu
Carnegie Mellon University,Pittsburgh,Pennsylvania,United States,http://www.cmu.edu/
University of Southern California,Los Angeles,California,United States,http://www.usc.edu
Princeton University,Princeton,New Jersey,United States,http://princeton.edu
Carnegie Mellon University,Pittsburgh,Pennsylvania,United States,http://www.cmu.edu/
University of Southern California,Los Angeles,California,United States,http://www.usc.edu
Princeton University,Princeton,New Jersey,United States,http://princeton.edu
Carnegie Mellon University,Pittsburgh,Pennsylvania,United States,http://www.cmu.edu/
University of Southern California,Los Angeles,California,United States,http://www.usc.edu
"University of California, Irvine",Irvine,California,United States,http://www.uci.edu
